X,Y,OBJECTID,LRSDate,RouteIdentifier,Location,DirectionOfTravel,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,AADT,AccumulatedRouteMile,GlobalID,ReportingYear
-121.536065863894,46.9799713756088,13,2022/12/31 08:00:00+00,410,NORTH OF MILEPOST 57.49: CRYSTAL MOUNTAIN BLVD INTERSECTION,Bothways,410,,,,,,1400,48.5900002,{E3CAF483-F0B3-4656-8FFA-CC858D91E986},2022
-122.92311939963,47.0256697197709,14,2022/12/31 08:00:00+00,101,AT MILEPOST 366.42: COOPER POINT RD SW UNDERCROSSING,Bothways,101,,,,,,71000,364.570007,{A9B62694-E719-4167-8482-DDC103BBF8B0},2022
-122.935294150631,46.9527611783286,15,2022/12/31 08:00:00+00,121,EAST OF MILEPOST 7.55: SR 5 NB OFF RAMP WYE CONNECTION,Bothways,121,,,5.36999989,6.96000004,0.180000007,16000,7.53999996,{D29A5316-5477-4261-BFC4-9143112BC4BC},2022
-122.269052607225,48.9811798632042,16,2022/12/31 08:00:00+00,009,AT MILEPOST 96.30: EASTERBROOK CREEK BRIDGE,Bothways,009,,,4.71999979,12.4700003,2.79999995,5000,95.8600006,{E736000F-3FEF-4D11-80FB-BD878FD6FA7E},2022
-117.243142897645,47.1352242485813,17,2022/12/31 08:00:00+00,271,"NORTHWEST OF MILEPOST 0.00: SR 27 INTERSECTION; BEGIN ROUTE",Bothways,271,,,8.98999977,3.52999997,1.5,930,0.00999999978,{B1C4F4AA-BF13-4AB9-A3F6-56E06E9E1397},2022
-123.210630957449,47.4555439162555,18,2022/12/31 08:00:00+00,119,NORTH OF MILEPOST 6.57: WYNOOCHEE DR INTERSECTION,Bothways,119,,,5.63999987,1.55999994,0.600000024,830,6.57999992,{C45B476B-661C-4AD0-B510-872FCB31700C},2022
-122.094408680953,47.9514636284573,19,2022/12/31 08:00:00+00,002,EAST OF MILEPOST 5.35: SR 9 ON RAMP,Bothways,002,,,,,,23000,5.48999977,{F2EAE39E-3001-4772-B2BC-534C4561AD42},2022
-122.234178072639,48.5105073692014,20,2022/12/31 08:00:00+00,020,WEST OF MILEPOST 65.71: REED ST INTERSECTION,Bothways,020,,,,,,21000,65.2600021,{BEEC3A6F-9FBF-4060-8F06-09E0F0B5A5F3},2022
-117.905131519156,48.5345222259473,21,2022/12/31 08:00:00+00,395,NORTH OF MILEPOST 228.79: JUNIPER ST INTERSECTION,Bothways,395,,,,,,12000,233.539993,{CB98C359-BDB4-4587-AA09-67838BC68448},2022
-122.577562559886,48.4627964142822,22,2022/12/31 08:00:00+00,020,EAST OF MILEPOST 48.07: EXIT TO ROUNDABOUT BYPASS,Bothways,020,,,4.42999983,1.47000003,0.519999981,34000,47.6399994,{E1AC16DB-12B3-4E18-BDD4-0D3AE558EAD2},2022
-122.314659522136,47.821190625123,23,2022/12/31 08:00:00+00,524,EAST OF MILEPOST 3.58: SR 99 WYE CONNECTION,Bothways,524,,,,,,26000,3.71000004,{29B9E0AA-0898-4541-A4C7-3FFCA92FDC93},2022
-122.726519262213,48.8923777008868,24,2022/12/31 08:00:00+00,548,NORTH OF MILEPOST 5.94: GRANDVIEW RD WB ROUNDABOUT,Bothways,548,,,4.5999999,0.75,0,2300,5.94999981,{46ABA5C9-04E1-4789-9E60-190FF97EBAEE},2022
-121.519557040912,45.7570252205538,25,2022/12/31 08:00:00+00,141,SOUTHEAST OF MILEPOST 4.69: SR 141 SPUNDRWD (SPUR) INTERSECTION,Bothways,141,,,5.30999994,0.49000001,0,3100,4.67999983,{86C20D78-656C-4BA3-8241-0D60EB9D214C},2022
-121.669747919985,47.4434057791086,26,2022/12/31 08:00:00+00,090S103737,"S1 RAMP (HOMESTEAD TO SR 90 WB)  AFTER MILEPOST 0.00: LX03775-HOMESTEAD VLY RD INTERSECTION; BEGIN ROUTE",West,090,S1,03737,7.63999987,10.5500002,1.45000005,280,0.0799999982,{3EFA22EE-A09E-41E8-AFDE-1FCB296D7693},2022
-122.270467527572,48.2680207587783,27,2022/12/31 08:00:00+00,005R121534,"R1 RAMP (SR 5 SB TO 300TH ST NW)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",South,005,R1,21534,5,2.29999995,0.140000001,740,0.219999999,{024DA7A8-83AD-44B9-87C1-9CE94AB06CB9},2022
-122.252545615652,47.8957094288503,28,2022/12/31 08:00:00+00,099,SOUTHEAST OF MILEPOST 52.81: 113TH ST SW INTERSECTION,Bothways,099,,,,,,33000,46.3699989,{75F380E5-4AAF-46B7-83DF-FE550452F463},2022
-122.328920036472,47.4432289416601,29,2022/12/31 08:00:00+00,509,SOUTH OF MILEPOST 23.88B: S NORMANDY RD WYE CONNECTION,Bothways,509,,,4.90999985,1,0,8100,27.6399994,{98717E66-F1AD-4F4D-B139-A2B5E821BB8A},2022
-122.263414924338,49.0001342634464,30,2022/12/31 08:00:00+00,009SPSUMAS,NORTH OF MILEPOST 98.07: GARFIELD ST INTERSECTION,Bothways,009,SP,SUMAS,6.59000015,46.3699989,7.57000017,1300,0.0799999982,{02C11C9A-23D5-4499-8C5D-8550D1AF2DF3},2022
-117.045570700069,46.4164239245744,31,2022/12/31 08:00:00+00,129SP6THST,"NORTH OF MILEPOST 42.17: DIAGONAL ST, MAPLE ST, SR 129 INTERSECTION; BEGIN ROUTE",Bothways,129,SP,6THST,1.35000002,0.469999999,0,2400,0.00999999978,{66E54A26-A51C-467E-944E-489BB3BF9293},2022
-122.197818369615,47.5247620439028,32,2022/12/31 08:00:00+00,405,SOUTH OF MILEPOST 6.95: NE 44TH ST ON RAMP,Bothways,405,,,,,,146000,6.90999985,{0144C461-0397-4300-B195-14C8F619F9FA},2022
-119.081273333096,46.7378930513223,33,2022/12/31 08:00:00+00,017,NORTHWEST OF MILEPOST 21.81: MUSE RD INTERSECTION,Bothways,017,,,,,,5400,14.3299999,{71E5A71D-2AF6-4758-A21E-B6CF06745C0F},2022
-122.570790834615,47.8038572544108,34,2022/12/31 08:00:00+00,104,NORTHWEST OF MILEPOST 20.58: SR 307 INTERSECTION,Bothways,104,,,4.11000013,1.61000001,0.25,6800,20.3700008,{ECA6DDF7-0E2A-4773-A155-C7EFD4140E3C},2022
-122.347264333475,47.6648437152883,35,2022/12/31 08:00:00+00,099,SOUTH OF MILEPOST 35.67: N 50TH ST INTERSECTION,Bothways,099,,,,,,34000,29.2399998,{A7A9833D-2CD2-4550-9F19-211E1D348A76},2022
-122.539480769682,47.679626786678,36,2022/12/31 08:00:00+00,305,NORTHWEST OF MILEPOST 4.29: W DAY RD WYE CONNECTION,Bothways,305,,,2.97000003,1.64999998,0.430000007,20000,4.28000021,{7A1126E6-D18D-4C62-A192-1EAA9742FE45},2022
-119.010371978791,47.9399343174423,37,2022/12/31 08:00:00+00,155,NORTHWEST OF MILEPOST 25.73: SR 174 WYE CONNECTION,Bothways,155,,,4.61000013,1.55999994,0.0900000036,5700,25.7399998,{4F058553-87F5-4CC0-AB65-2D546E7C93D3},2022
-122.58742074892,48.8601081734899,38,2022/12/31 08:00:00+00,005Q126414,"Q1 RAMP (PORTAL WAY TO SR 5 NB)  AFTER MILEPOST 0.00: LX26346-PORTAL WAY ROUNDABOUT; BEGIN ROUTE",North,005,Q1,26414,4.82999992,1.36000001,0.419999987,950,0.129999995,{5197B4FC-E5AD-4DFF-8343-64EB33E4B7BC},2022
-117.201264665376,46.7337600239484,39,2022/12/31 08:00:00+00,270,WEST OF MILEPOST 1.22: CORY LN INTERSECTION,Bothways,270,,,6.42000008,2.61999989,0.300000012,6200,1.21000004,{27B7096E-E974-4F65-9943-A45AB3EC9D5B},2022
-122.085723698463,47.3580756886039,40,2022/12/31 08:00:00+00,516,EAST OF MILEPOST 13.11: 192ND AVE SE INTERSECTION,Bothways,516,,,,,,23000,13.3900003,{06352DF6-1C28-45FD-9E3C-004184182B33},2022
-122.903076937515,46.2842542836894,41,2022/12/31 08:00:00+00,411,"AT MILEPOST 13.48: BOTHWAYS MISCELLANEOUS FEATURE SR 5 OXING WPS; END ROUTE",Bothways,411,,,3.53999996,2.24000001,0.150000006,9100,13.4799995,{67588AB4-E864-4C46-869C-3FA247AA00C3},2022
-122.29102795599,47.2952230141235,42,2022/12/31 08:00:00+00,018R100108,"R1 RAMP (SR 18 WB TO WYRHSR WAY S)  AFTER MILEPOST 0.00: SR 18 WB INTERSECTION; BEGIN ROUTE",Southwest,018,R1,00108,,,,6100,0.219999999,{179187C4-8E7C-4195-8F32-E0263BEF4AB5},2022
-123.811602146467,46.6994843782949,43,2022/12/31 08:00:00+00,105,NORTHWEST OF MILEPOST 4.52: AIRPORT RD INTERSECTION,Bothways,105,,,7.98999977,3.72000003,0,1100,4.53000021,{30665402-8053-45A8-8FE7-3FD106C02DED},2022
-122.36090579549,48.9637500810702,44,2022/12/31 08:00:00+00,546,AT MILEPOST 5.66: SQUAW CREEK BRIDGE,Bothways,546,,,5.96000004,4.44000006,1.38,5000,5.65999985,{A4203D82-A8B8-4AC5-BF04-A00845483307},2022
-122.544308910419,47.1254406653465,45,2022/12/31 08:00:00+00,005P112324,"P1 RAMP (SR 5 NB TO THORNE LN)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",East,005,P1,12324,,,,3200,0.209999993,{F6EEB261-5E46-4997-8675-0DD7233B00B5},2022
-119.633993898212,46.2441026008605,46,2022/12/31 08:00:00+00,082S108808,"S1 RAMP (GIBBON RD TO SR 82 WB)  AFTER MILEPOST 0.00: LX08855-GIBBON-HANSON RD INTERSECTION; BEGIN ROUTE",Southwest,082,S1,08808,6.67000008,16.6700001,3.32999992,120,0.0900000036,{AF563E04-A846-46A5-8C46-66547DC80EDC},2022
-122.097795620849,47.5651109935535,47,2022/12/31 08:00:00+00,090R101432B,"R1 RAMP (SR90 WB TO W LK SAMM PKY)  AFTER MILEPOST 0.00: SR 90 WB INTERSECTION; BEGIN ROUTE",North,090,R1,01432B,,,,4300,0.569999993,{04084F62-2F2C-4F4D-98C3-5A0F1E02523B},2022
-122.244528771284,47.3612925084592,48,2022/12/31 08:00:00+00,167,NORTH OF MILEPOST 18.45: S 277TH ST ON RAMP,Bothways,167,,,,,,131000,19.7399998,{43E8F5F7-3942-4B24-B9EB-A5DC90FA92E1},2022
-122.604586085567,45.647737024677,49,2022/12/31 08:00:00+00,500P100267,"P1 RAMP (SR 500 TO NE ANDRESENRD)  AFTER MILEPOST 0.00: SR 500 INTERSECTION; BEGIN ROUTE",East,500,P1,00267,,,,6500,0.300000012,{762A3227-8A30-4B44-8E69-9766FB73371C},2022
-122.540001655206,46.6049694218494,50,2022/12/31 08:00:00+00,508,EAST OF MILEPOST 18.02: CINEBAR RD INTERSECTION,Bothways,508,,,,,,1200,18.0300007,{809B410F-BEB9-47D9-BB87-AC0FD1E03F48},2022
-120.228045263212,47.6276424145145,51,2022/12/31 08:00:00+00,097,SOUTH OF MILEPOST 213.36: SR 97SPORONDO (SPUR) INTERSECTION,Bothways,097,,,,,,5800,198.410004,{21C65902-3493-45FD-9610-712867B1D704},2022
-122.693075957763,47.6628439025003,52,2022/12/31 08:00:00+00,003S104515,"S1 RAMP (SR 303 TO SR 3 SB)  AFTER MILEPOST 0.00: SR 303 NB INTERSECTION; BEGIN ROUTE",Southwest,003,S1,04515,,,,1100,0.0399999991,{2E5D1908-6741-4C89-B59E-8C0C595122AC},2022
-118.399006322045,47.1078539763787,53,2022/12/31 08:00:00+00,395P109489,"P1 RAMP (SR 395 NB TO DANEKAS RD)  AFTER MILEPOST 0.00: SR 395 NB INTERSECTION; BEGIN ROUTE",Northeast,395,P1,09489,6.11999989,12.7700005,1.86000001,380,0.680000007,{381A6690-0205-420D-B214-7ECF8481ADA8},2022
-120.002911176806,46.2122142355932,54,2022/12/31 08:00:00+00,022,"WEST OF MILEPOST 22.96: BOUNDARY RD, SR 241 INTERSECTION",Bothways,022,,,4.46000004,8.51000023,1.85000002,1700,22.2700005,{E3657EB1-9239-44B9-8D57-17A27B41938F},2022
-122.296200295301,47.4454076293532,55,2022/12/31 08:00:00+00,099,"NORTH OF MILEPOST 19.10: MEDIAN XROAD, S 176TH ST INTERSECTION",Bothways,099,,,,,,25000,15.46,{8F2E3FC9-B7CE-487A-8591-B7DF66E14BD0},2022
-122.325699201038,47.5092347703253,56,2022/12/31 08:00:00+00,509,NORTH OF MILEPOST 28.31: S 112TH ST ON RAMP,Bothways,509,,,,,,54000,33.1199989,{7EC15614-9D4A-4CF3-8D0A-1DA6E656E9DF},2022
-119.66933668236,48.0050569555551,57,2022/12/31 08:00:00+00,173,SOUTHEAST OF MILEPOST 0.74: 17TH ST INTERSECTION,Bothways,173,,,,,,1600,0.730000019,{83C90A49-5061-4F63-9BD8-0618EB301F9A},2022
-122.663166374194,45.7496411942532,58,2022/12/31 08:00:00+00,005S100923,"S1 RAMP (NE 179TH ST TO SR 5 SB)  AFTER MILEPOST 0.00: LX00951-NE 179TH ST INTERSECTION; BEGIN ROUTE",Southeast,005,S1,00923,,,,7500,0.0599999987,{E00C3A3F-DE21-4564-A4B9-580E127328AE},2022
-122.256915360435,47.2953594617158,59,2022/12/31 08:00:00+00,167,SOUTH OF MILEPOST 13.84: SR 18 EB OFF RAMP,Bothways,167,,,,,,91000,15.0699997,{00919E4B-1D13-4CF9-BDA9-DAE044DD3414},2022
-117.431610351789,47.6193528249133,60,2022/12/31 08:00:00+00,195P109358,"P1 RAMP (SR 195 NB TO CHEN-SPO RD)  AFTER MILEPOST 0.00: SR 195 NB INTERSECTION; BEGIN ROUTE",Northwest,195,P1,09358,2.04999995,0.5,0,1400,0.239999995,{4B4850B5-3167-4633-A864-8BD89F313A4A},2022
-122.689089754316,47.6840787464262,61,2022/12/31 08:00:00+00,003,NORTH OF MILEPOST 47.33: TRIGGER AVE ON RAMP,Bothways,003,,,,,,49000,47.2900009,{AB4EB118-1681-4D97-AF33-188CCFBEE3A6},2022
-122.748968730692,45.9153619980436,62,2022/12/31 08:00:00+00,005R102199,"R1 RAMP (SR 5 SB TO SCOTT AVE)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",South,005,R1,02199,5.88999987,3.3900001,0.649999976,5100,0.170000002,{406F1715-2548-4586-A8B4-F5A8084D9720},2022
-122.387022690601,45.5799669799494,63,2022/12/31 08:00:00+00,014P101430,"P1 RAMP (SR 14 EB TO SR 500)  AFTER MILEPOST 0.00: SR 14 EB INTERSECTION; BEGIN ROUTE",East,014,P1,01430,4.21000004,4.01000023,0.280000001,3600,0.25999999,{B07598DA-2C2E-4F65-BC65-1172827FE8D7},2022
-122.18369591471,47.6842933708014,64,2022/12/31 08:00:00+00,405CD01860,"COLLECTOR-DISTRIBUTOR  AFTER MILEPOST 0.00: SR 405 SB INTERSECTION; BEGIN ROUTE",South,405,CD,01860,,,,13000,0.129999995,{C7F2CD58-F8B9-4509-A18E-B8B6791B404F},2022
-122.338514903957,48.4863959938206,65,2022/12/31 08:00:00+00,011,NORTHWEST OF MILEPOST 0.13: JOSH WILSON RD WB ROUNDABOUT,Bothways,011,,,4.11999989,1.73000002,0.25,4800,0.159999996,{76514D72-3FBA-42E9-BCF6-31F77804BA60},2022
-122.559306227968,45.6324347701649,66,2022/12/31 08:00:00+00,205P102833,"P1 RAMP (SR 205 NB TO NE 18TH ST)  AFTER MILEPOST 0.00: SR 205 NB INTERSECTION; BEGIN ROUTE",North,205,P1,02833,,,,8400,0.790000021,{75D72369-A255-49E9-B63B-BD2F66DC3CB0},2022
-122.379794563842,47.8114969846317,67,2022/12/31 08:00:00+00,524,"NORTHWEST OF MILEPOST 0.00: MAIN ST, SR 524 SP3RDAVE (SPUR) INTERSECTION",Bothways,524,,,1.69000006,0.150000006,0,3900,0.109999999,{6CC5E26C-AB19-4D8B-8C89-DC18F17D11F4},2022
-120.474562990314,46.539812553008,68,2022/12/31 08:00:00+00,082P503782,P5 RAMP (SR 82 EB TO R103848)  AFTER MILEPOST 0.33: SR 97 P507617 ON RAMP,Northwest,082,P5,03782,,,,3000,0.349999994,{72F9DB45-3774-41E7-A197-A93816F69254},2022
-122.211292758593,47.9210042185925,69,2022/12/31 08:00:00+00,005S118904,"S1 RAMP (SR 526 EB TO CD18987)  AFTER MILEPOST 0.00: SR 526 EB INTERSECTION; BEGIN ROUTE",Southeast,005,S1,18904,,,,15000,0.129999995,{782B03C5-D621-4F34-908A-A15E50ADA578},2022
-119.656463294774,47.9991405233712,70,2022/12/31 08:00:00+00,017,NORTHWEST OF MILEPOST 135.86: SR 173 WYE CONNECTION,Bothways,017,,,8.13000011,7.44000006,1.85000002,2600,128.25,{DB97F21E-2F1A-4CA2-9333-F316E6EDD2F0},2022
-122.312605286749,47.5933466174055,71,2022/12/31 08:00:00+00,090,AT MILEPOST 2.98: PERMANENT RECORDER R117,Bothways,090,,,2.46000004,1.40999997,0.0900000036,104000,1.03999996,{FA588333-1019-495F-B3FA-CEE7E5F0B663},2022
-118.141094433594,47.654725785338,72,2022/12/31 08:00:00+00,002,SOUTHEAST OF MILEPOST 251.55: SR 25 INTERSECTION,Bothways,002,,,,,,5800,243.460007,{610E8566-C85D-4015-A52C-61FBC6E1B63A},2022
-122.19557544664,47.5352357294243,73,2022/12/31 08:00:00+00,405,NORTHWEST OF MILEPOST 7.69: NE 44TH ST OFF RAMP,Bothways,405,,,,,,144000,7.67000008,{198F0CF4-93D8-4DF1-9926-44D2230A7C37},2022
-120.278623053722,46.4034025065824,74,2022/12/31 08:00:00+00,082,AT MILEPOST 52.08: N MEYERS RD UNDERCROSSING,Bothways,082,,,,,,21000,52.0499992,{3511687D-7FD7-4069-837B-7A42AA339061},2022
-122.665504672235,47.7524656579021,75,2022/12/31 08:00:00+00,003S105182,S1 RAMP (FINN HILL RD TO SR 3 SB)  AFTER MILEPOST 0.01: LX05227 WYE CONNECTION,Southwest,003,S1,05182,1.28999996,1.04999995,0.0500000007,6000,0.100000001,{82F37423-B9C3-4788-AA67-E9D4037A04EF},2022
-122.221455800946,47.4107191569341,76,2022/12/31 08:00:00+00,167S102191,"S1 RAMP (S 212TH ST TO SR 167 SB)  AFTER MILEPOST 0.00: LX02240 INTERSECTION; BEGIN ROUTE",Southeast,167,S1,02191,,,,8500,0.100000001,{CD3D8656-724D-498C-8D3D-DCE3D2013B6B},2022
-122.273464977288,47.4343755449236,77,2022/12/31 08:00:00+00,005R215272,"R2 RAMP (R115272 TO S 188TH ST)  AFTER MILEPOST 0.00: R115272 INTERSECTION; BEGIN ROUTE",West,005,R2,15272,,,,3700,0.189999998,{0413D52C-4314-4B58-88C5-B74E8C614A3D},2022
-122.217529756081,47.4426690314389,78,2022/12/31 08:00:00+00,167S102408,"S1 RAMP (E VALLEY RD TO SR 167 SB)  AFTER MILEPOST 0.00: EAST VALLEY RD INTERSECTION; BEGIN ROUTE",South,167,S1,02408,,,,9500,0.109999999,{EE6FE61A-B058-449E-A002-E1699BB4C523},2022
-122.295875689842,47.8120803026035,79,2022/12/31 08:00:00+00,005S118010,"S1 RAMP (PARK & RIDE TO SR 5 SB)  AFTER MILEPOST 0.00: ENTRANCE FROM PARK AND RIDE LOT; BEGIN ROUTE",Southwest,005,S1,18010,,,,1200,0.109999999,{C084AD03-3A96-4A48-9C9C-6F2C7508AA51},2022
-122.303253509896,47.6447226281508,80,2022/12/31 08:00:00+00,520R100168,R1 RAMP (SR 520 WB TO SR 513)  AFTER MILEPOST 0.41: R200168 OFF RAMP,West,520,R1,00168,,,,4100,0.670000017,{41B535B1-1A6D-4DDA-ADD9-7A56BBDE465C},2022
-121.399003181706,47.3961066752532,81,2022/12/31 08:00:00+00,090P105447,"P1 RAMP (SR 90 EB TO SR 906)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",South,090,P1,05447,11.9399996,4.48000002,0.75,270,0.25,{B22D5A7A-FBC8-4DD9-A2EA-245B2CD7CFC5},2022
-122.179548563106,47.5880492984747,82,2022/12/31 08:00:00+00,405,NORTH OF MILEPOST 11.69: SR 90 OFF RAMP,Bothways,405,,,,,,191000,11.6700001,{AFD02F3F-C0E5-452F-92CE-DD7C47C9A36A},2022
-118.898880679345,46.7940078367031,83,2022/12/31 08:00:00+00,026,EAST OF MILEPOST 53.86: JOHNSON RD INTERSECTION,Bothways,026,,,4.11999989,13.8999996,3.16000009,2000,53.8699989,{1FC153B2-2A9A-42F5-B051-E5346065CE2D},2022
-122.399851505425,47.2403205656385,84,2022/12/31 08:00:00+00,005,EAST OF MILEPOST 135.39: SR 167 OFF RAMP,Bothways,005,,,,,,204000,135.380005,{CE6E6022-E8E0-45B1-95E2-E1311658D70A},2022
-123.050505647531,47.5266996151228,85,2022/12/31 08:00:00+00,101,NORTH OF MILEPOST 321.42: JORSTED CR RD-FS RD #24 INTERSECTION,Bothways,101,,,9.68000031,8.96000004,1.08000004,2500,320.440002,{085B3D98-3153-4D82-8593-1A4917B23816},2022
-119.759343021045,47.1034509760552,86,2022/12/31 08:00:00+00,090,EAST OF MILEPOST 155.05: ADAMS RD ON RAMP,Bothways,090,,,,,,16000,153.339996,{762D80DE-B824-4424-BA5D-1BCB00535915},2022
-117.223054407445,47.5731714312755,87,2022/12/31 08:00:00+00,027,NORTHWEST OF MILEPOST 79.30: DISHMAN-MICA RD INTERSECTION,Bothways,027,,,5.09000015,2.55999994,0.469999999,5100,81.6100006,{4157F5AF-6CCC-40D6-B597-AB2C258D539F},2022
-118.990162230499,46.5679204691754,88,2022/12/31 08:00:00+00,395Q104646,"Q1 RAMP (PEPIOT RD TO SR 395 NB)  AFTER MILEPOST 0.00: LX04589-PEPIOT RD INTERSECTION; BEGIN ROUTE",North,395,Q1,04646,,,,300,0.109999999,{B46B6B07-FDC5-4608-A875-CD75F9786F31},2022
-122.877946373521,46.5473368766058,89,2022/12/31 08:00:00+00,005LX06841,"LATERAL CROSSING (AVERY ROAD)  EAST OF MILEPOST 0.00: S506817 OFF RAMP; R106881 ON RAMP; BEGIN ROUTE",Bothways,005,LX,06841,5.92000008,7.88000011,1.75,7900,0.00999999978,{A457FDAD-7BDA-45F8-8BC8-111CCD6A40EE},2022
-119.533495287536,48.5757274409613,90,2022/12/31 08:00:00+00,097,NORTHWEST OF MILEPOST 304.69: S PINE CREEK RD WYE CONNECTION,Bothways,097,,,7.51000023,5.4000001,0.560000002,4800,289.73999,{3AA96DD7-6FEF-40E1-8D4A-0D81D66B5406},2022
-119.223219951569,46.2330617465127,91,2022/12/31 08:00:00+00,240S503889,"S5 RAMP (CLMBIA CTR TO SR 240 WB)  AFTER MILEPOST 0.00: LX03890 INTERSECTION; BEGIN ROUTE",North,240,S5,03889,2.77999997,6.05999994,1.51999998,8400,0.0599999987,{999EBF74-1950-4B1D-9D54-1B3511A7627C},2022
-119.0840644861,46.2550949999046,92,2022/12/31 08:00:00+00,182S101413,"S1 RAMP (SR 395 SB TO CD01483)  AFTER MILEPOST 0.00: SR 395 SB INTERSECTION; BEGIN ROUTE",South,182,S1,01413,5.17000008,13.4899998,2.32999992,11000,0.0900000036,{423CF7E4-1B24-4A65-952B-0863413E4C43},2022
-119.083950994173,46.257523121387,93,2022/12/31 08:00:00+00,182R101461,"R1 RAMP (CD01483 TO SR 395 NB)  AFTER MILEPOST 0.00: CD01483 INTERSECTION; BEGIN ROUTE",North,182,R1,01461,7.48000002,34.7599983,7.63000011,2000,0.540000021,{A79FBEFA-45BE-4A9A-B99F-E674F14CB5F0},2022
-117.282808271544,47.6739382331795,94,2022/12/31 08:00:00+00,090LX28783,LATERAL CROSSING (ARGONNE RD)  SOUTH OF MILEPOST 0.02: R128812 WYE CONNECTION,South,090,LX,28783,,,,18000,0.0299999993,{ACE89432-2C73-4825-AC9B-D0BC5A2F966C},2022
